Genre,Artist,Song Name,Lyrics
Blues,B.B. King,Old Time Religion,Give me that old time religion Give me that old time religion It is good enough for me It was good for my old mother It was good for my old mother It was good for my old mother And it's good enough for me It was good for the Hebrew children It was good for the Hebrew children It was good for the Hebrew children And it's good enough for me It was good for Paul and Silas It was good for Paul and Silas It was good for Paul and Silas And it's good enough for me Give me that old time religion Give me that old time religion Give me that old time religion It is good enough for me It was good for my old father It was good for my old father It was good for my old father And it's good enough for me Give me that old time religion Give me that old time religion Give me that old time religion It is good enough for me It was good for the Hebrew children It was good for the Hebrew children It was good for the Hebrew children And it's good enough for me I want that old time religion I want that old time religion I want that old time religion It is good enough for meYou might also likeEmbed
Blues,B.B. King,Nobody Loves Me But My Mother,"And she could be jivin' too Nobody loves me but my mother And she could be jivin' too Now you see why I act so funny, baby When you do the things you doYou might also likeEmbed"
Blues,B.B. King,How Blue Can You Get,"I've been down hearted baby Ever since the day we met I said I've been down hearted baby Ever since the day we met Our love is nothing but the blues, woman Baby, how blue can you get? You're evil when I'm with you, baby And you're jealous when we're apart I said You're evil when I'm with you, baby And you're jealous when we're apart How blue can you get baby The answer is right here in my heart I gave you a brand new Ford But you said: ""I want a Cadillac"" I bought you a ten dollar dinner And you said: ""thanks for the snack"" I let you live in my penthouse You said it just a shack I gave you seven children And now you wanna give them back I said I've been down hearted baby Ever since the day we met Our love is nothing but the blues Baby, how blue can you get?You might also like"
Blues,B.B. King,Never Make Your Move Too Soon,"Thought you would wonder where I am Rang our number all night long It's no comfort on the telephone Ran out and caught a midnight flight Thought a little love would make everything all right The landlord said, ""You moved away"" And left me all your bills to pay"" Look out baby, you might have made your move too soon Left me with a Keno card This life in Vegas sure ain't hard I ran it up to about fifty grand Cashed it in and held it in my hand That kind of word can get around And make a lost love come up found I hear you knocking baby at my door But you know you ain't living here no more It's too bad I think you made your move too soon I've been from Spain to Tokyo From Africa to Ohio I never tried to make the news I'm just a man who plays the blues I take my lovin' everywhere I came back, and they still care you know One love ahead One love behind One in my arms and one on my mind It's one thing baby I never make my move too soon You might also likeI've been from Spain to Tokyo From Africa to Ohio I never tried to make the news I'm just a man who plays the blues I take my lovin' everywhere I come back, you know they still all care One love ahead and one behind One in my arms you know, one on my mind And it's one thing people I never make my move too soonEmbed"
Blues,B.B. King,Rock Me Baby,"Rock me baby, honey, rock me all night long I want you to rock me baby Like my back ain't got no bones Roll me baby, like you roll a wagon wheel I want you to roll me baby, like you roll a wagon wheel Want you to roll me baby You don't know how it makes me feel Rock me baby, honey, rock me slow Yeah, rock me pretty baby, baby rock me slow Want you to rock me baby Till I want no moreYou might also likeEmbed"
Blues,B.B. King,Let the Good Times Roll,"You only live but once And when you're dead you're done, so Let the good times roll, let the good times roll I don't care if you're young or old Get together, let the good times roll Don't sit there mumblin', talkin' trash If you wanna have a ball You gotta go out and spend some cash, and Let the good times roll, let the good times roll I don't care if you're young or old Get together, let the good times roll Hey Mr. Landlord, lock up all the doors When the police comes around Just tell 'em that the joint is closed Let the good times roll, let the good times roll I don't care if you're young or old Get together, let the good times roll Hey tell everybody Mr. King's in town I got a dollar and a quarter Just rarin' to clown But don't let nobody play me cheap I got fifty cents more that I'm gonna keep, so You might also likeLet the good times roll, let the good times roll I don't care if you're young or old Get together, let the good times roll No matter whether rainy weather Birds of a feather gotta stick together So get yourself under control Go out and get together and let the good times rollEmbed"
Blues,B.B. King,Back Door Santa,"I make my runs about the break of day They call me the Back Door Santa I make my runs about the break of day I make all the little girls happy While the boys are out to play I ain't like the old Saint Nick He don't come but once a year I ain't like the old Saint Nick He don't come but once a year I come runnin' with my presents Every time they call me dear I keep some change in my pocket In case the children are home I give 'em a few pennies so that we can be alone I leave the back door open so if anybody smells a mouse And wouldn't old Santa be in trouble if there ain't no Chimney in the house They call me the Back Door Santa I make my runs about the break of day I make all the little girls happy While all the boys are out to play You might also likeThey call me the Back Door Santa Yeah, that's what they call me They call me the Back Door Santa Yeah, that's what they call meEmbed"
Blues,B.B. King,Chains and Things,"After another one of those crazy dreams Oh, nothing is going right this morning The whole world is wrong it seems Oh, I guess it's the chain that binds me I can't shake it loose, these chains and things Got to work this morning Seems like everything is lost I got a gold-hearted, wrong-doing woman And a slave-driving ball I can't loosen these chains that bind me Can't shake them loose, these chains and things Just can't loosen these chains and things Well, you talk about hard luck and trouble Seems to be my middle name All the odds are against me Yes, I can only play a losing game These chains that bind me Can't loosen these chains and things Just can't loosen these chains and things Oh I would pack up and leave today, people But I ain't got nowhere to go Ain't got money to buy a ticket And I don't feel like walking anymore These chains that bind me I can't lose, I can't lose these chains and thingsYou might also like"
Blues,B.B. King,There’s Something on Your Mind,"There is something on your mind By the way you look at me There is something on your mind, baby By the way you look at me And what you're thinking brings happiness Oh, and it brings misery Please, please, don't try to tell me I think I, I understand No, no, don't try to tell me, baby 'Cause I think I, I understand You want me to try and forget you Well, I'll do Baby, I'll do the best I can You know it hurts you when you're in love with someone and you know that someone don't love you. It carries a heavy burden on your heart to know that the someone that you're in love with is in love with your best friend. And I'll tell you, when someone else is rocking your, rocking your cradle, you know, better than you can rock your cradle yourself, then there's only one thing for you to do You just pack your clothes, turn around, and slowly walk out of the door Look over your left shoulder as you go out, then you hang your head and you say: Oh, please don't try to tell me Uh-huh, I think, I understand No, no, no, no Please don't try to tell me Because you think, you think I understand Oh, you want me to try To try to forget you, baby And I'll tell you, I'll do the best I can You might also like You know, after you have done all you could do and you can't take no more, then you go downtown, you get your big baseball bat and you come back on the scene where they both are still together, and then you just go and kick down the door. Now as you kick down the door you just start beating the hell of everybody that you can see, everybody that comes through the door, and just as you make up your mind that you're gonna try to forgive her, then out comes another one of your friends, and that really blows your mind. So you go and think about, you say to yourself, ""Baby, I realize I've done wrong but please forgive me."" And with a smirky smile on her face then she look up at you and she say: If you ever think about me (Oh, I think about you, baby) If you ever charge your mind (Oh, you're staying on my mind, baby) If you ever think about me (Oh, I think, I think about you all the time) And if I ever cross your mind (You stayed on my mind) Well, you know, you know, you know I'm yours And I know, I know you got to be mine (Yeah) There is something on your mind, B I can tell by the way you look at me (Oh, there's something, on my mind, Miss James) There is something on your mind (Oh, can you tell, there's something on my mind?) By the way you look at me (Oh, the way I look at you, you look good to me) And what you're thinking brings happiness (Yes, baby) Oh, oh, and it can bring misery (Yes, that's right)Embed"
Blues,B.B. King,Hummingbird,"Sometimes, I get impatient but she cools me without words And she comes so sweet and softly, my hummingbird And have you heard that I thought my life had ended But I find that it's just begun cause she gets me where I live I'll give all I have to give, I'm talking about that hummingbird Oh, she's little and she loves me too much for words to say When I see her in the morning sleeping She's little and she loves me to my lucky day Hummingbird, don't fly away When I'm feeling wild and lonesome, she knows the words to say And she gives me a little understanding in her special way And I just have to say, in my life I loved a woman Because she's more than I deserve and she gets me where I live I'll give all I have to give, I'm talking about that hummingbird Oh, she's little and she loves me too much for words to say When I see her in the morning sleeping She's little and she loves me to my lucky day Hummingbird, don't fly away You might also like When I'm feeling wild and lonesome, she knows the words to say And she gives me a little understanding in her special way And I just have to say, in my life I loved a woman Because she's more than I deserve and she gets me where I live I'll give all I have to give, I'm talking about that hummingbird Oh, she's little and she loves me too much for words to say When I see her in the morning sleeping She's little and she loves me to my lucky day Hummingbird, don't fly away Don't fly away, away, don't fly away, away Don't fly away, away, don't fly away, away Don't fly away, away, don't fly away, away Don't fly away, away Don't fly away, away, don't fly away, away Don't fly away, away, don't fly away, away Don't fly away, away, don't fly away, awayEmbed"
Blues,Robert Johnson,Kindhearted Woman Blues (Take 2),"I got a kind hearted Mama Do anything in this world for me I got a kind hearted Mama Do anything in this world for me But these evil-hearted women Man, they will not let me be I love my baby My baby don't love me I love my baby, oooh My baby don't love me But I really love that woman Can't stand to leave her be A-ain't but the one thing Makes Mister Johnson drink I's worried 'bout how you treat me, baby I begin to think Oh babe, my life don't feel the same You breaks my heart When you call Mister So-and-So's name She's a kindhearted woman She studies evil all the time She's a kindhearted woman She studies evil all the time You well's to kill me As to have it on your mindYou might also like"
Blues,Robert Johnson,I Believe I’ll Dust My Broom,"I'm gonna get up in the mornin' I believe I'll dust my broom I'm gonna get up in the mornin' I believe I'll dust my broom Girlfriend the black man you've been lovin' Girlfriend can get my room I'm gonna write a letter Telephone every town I know I'm gonna write a letter Telephone every town I know If I can't find her in West Helena She must be in East Monroe I know I don't want no woman Wants every downtown man she meets I don't want no woman Wants every downtown man she meets She's a no good doney They shouldn't allow her on the street I believe, I believe I'll go back home I believe, I believe I'll go back home You can mistreat me here babe But you can't when I go home You might also like And I'm gettin up in the mornin' I believe I'll dust my broom I'm gettin up in the mornin' I believe I'll dust my broom Girlfriend the black man you been lovin' Girlfriend can get my room I'm gonna call up Chiney See is my good girl over there I'm gonna call up China See is my good girl over there I can't find her on Phillipine's island She must be in Ethiopia somewhereEmbed"
Blues,Robert Johnson,They’re Red Hot,"Hot tamales and they're red hot, yes she got 'em for sale Hot tamales and they're red hot, yes she got 'em for sale I got a girl, say she long and tall She sleeps in the kitchen with her feets in the hall Hot tamales and they're red hot, yes she got 'em for sale, I mean Yes, she got 'em for sale, yeah Hot tamales and they're red hot, yes she got 'em for sale Hot tamales and they're red hot, yes she got 'em for sale She got two for a nickel, got four for a dime Would sell you more, but they ain't none of mine Hot tamales and they're red hot, yes she got 'em for sale, I mean Yes, she got 'em for sale, yes, yeah Hot tamales and they're red hot, yes she got 'em for sale Hot tamales and they're red hot, yes she got 'em for sale I got a letter from a girl in the room Now she got something good she got to bring home soon, now Its hot tamales and they're red hot, yes she got 'em for sale, I mean Yes, she got 'em for sale, yeah Hot tamales and they're red hot, yes she got 'em for sale Hot tamales and they're red hot, yes she got 'em for sale They're too hot boy! The billy got back in a bumble bee nest Ever since that he can't take his rest, yeah Hot tamales and they're red hot, yes you got 'em for sale, I mean Yes, she got 'em for sale You might also like Hot tamales and they're red hot, yes she got 'em for sale Man don't mess around em hot tamales now 'Cause they too black bad, if you mess around em hot tamales I'm gonna upset your backbone, put your kidneys to sleep I'll due to break away your liver and dare your heart to beat 'bout my Hot tamales 'cause they red hot, yes they got 'em for sale, I mean Yes, she got 'em for sale, yeah Hot tamales and they're red hot, yes she got 'em for sale Hot tamales and they're red hot, yes she got 'em for sale You know grandma left, she left grandpa too Well I wonder what in the world we chillun gon' do now Hot tamales and they're red hot, yes she got 'em for sale, I mean Yes she got 'em for sale Hot tamales and they're red hot, yes she got 'em for sale Hot tamales and they're red hot, yes she got 'em for sale Me and my babe bought a V-8 Ford Well we wind that thing all on the runnin' board, yes Hot tamales and they're red hot, yes she got 'em for sale, I mean Yes she got 'em for sale, yeah Hot tamales and they're red hot, yes she got 'em for sale They're too hot boy! Hot tamales and they're red hot, yes, now she got 'em for sale You know the monkey, now the baboon playin' in the grass Well the monkey stuck his finger in that old ""Good Gulf Gas"", now Hot tamales and they're red hot, yes she got 'em for sale, I mean Yes she got 'em for sale, yeah Hot tamales and they're red hot, yes she got 'em for sale Hot tamales and they're red hot, yes she got 'em for sale I got a girl, say she long and tall Now she sleeps in the kitchen with her feets in the hall Hot tamales and they're red hot, yes she got 'em for sale, I mean Yes she got 'em for sale, yeahEmbed"
Blues,Robert Johnson,Come On In My Kitchen (Take 1),"Mmm mmm mmm mmm mmm Mmm mmm mmm mmm mmm Mmm mmm mmm mmm mmm Mmm mmm mmm mmm mmm You better come on in my kitchen Hey, it's goin' to be rainin' outdoors Ah, the woman I love, took from my best friend Some joker got lucky, stole her back again You better come on in my kitchen Hey, it's goin' to be rainin' outdoors Ah ah, she's gone, I know she won't come back I've taken the last nickel out of her nation sack You better come on in my kitchen Hey, it's goin' to be rainin' outdoors (Oh, can't you hear that wind howl?) Oh, can't you hear that wind howl? You better come on in my kitchen Hey, it's going to be rainin' outdoors You might also like When a woman gets in trouble, everybody throws her down Looking for her good friend, none can be found You better come on in my kitchen Hey, it's going to be rainin' outdoors Winter time's comin', it's gon' be slow You can't make the winter, babe, that's dry long so You better come on in my kitchen 'Cause it's going to be rainin' outdoors"
Blues,Robert Johnson,Sweet Home Chicago,"Oh, baby, don't you want to go Oh, baby, don't you want to go Back to the land of California, to my sweet home Chicago Oh, baby, don't you want to go Oh, baby, don't you want to go Back to the land of California, to my sweet home Chicago Now one and one is two, two and two is four I'm heavy loaded baby, I'm booked, I gotta go Cryin', baby, honey, don't you want to go Back to the land of California, to my sweet home Chicago Now two and two is four, four and two is six You goin' keep on monkeyin' 'round here friend-boy You goin' get your business all in a trick But I'm cryin', baby, honey, don't you want to go Back to the land of California, to my sweet home Chicago Now six and two is eight, eight and two is ten Friend-boy, she trick you one time she sure gon' do it again But I'm cryin', hey baby, don't you want to go Back to the land of California, to my sweet home Chicago You might also like I'm goin' to California, from there to Des Moines, Iowa Somebody will tell me that you need my help someday, cryin' Hey, hey, baby, don't you want to go Back to the land of California, to my sweet home ChicagoEmbed"
Blues,Robert Johnson,32-20 Blues,"'F I send for my baby, man, and she don't come All the doctors in Hot Springs sure can't help her none And if she gets unruly, thinks she don't wan' do And if she gets unruly and thinks she don't wan' do Take my .32-20, now, and cut her half in two She got a .38 special but I believe it's most too light She got a .38 special but I believe it's most too light I got a .32-20, got to make the caps alright If I send for my baby, man, and she don't come If I send for my baby, man, and she don't come All the doctors in Hot Springs sure can't help her none I'm gonna shoot my pistol, gonna shoot my gatling gun I'm gonna shoot my pistol, gotta shoot my gatling gun You made me love you, now your man have come Ahoh, baby, where you stayed last night Ahah, baby, where you stayed last night You got your hair all tangled and you ain't talking right Her .38 special, boys, it do very well Her .38 special, boys, it do very well I got a .32-20 now, and it's a burning You might also likeIf I send for my baby, man, and she don't come If I send for my baby, man, and she don't come All the doctors in West Country sure can't help her none Hey, hey, baby, where you stayed last night Hey, hey, baby, where you stayed last night You didn't come home until the sun was shining bright Ahoh boy, I just can't take my rest Ahoh boy, I just can't take my rest With this .32-20 laying up and down my breastEmbed"
